"ID";"P02";"P04";"P05";"P06";"P07";"P08";"P09";"P10";"P11";"P12";"P13";"P14";"P15";"P16";"P17";"P18";"P19";"P20";"P21";"P22";"P23";"P24";"P25";"P26";"P27";"P28";"P29";"P30";"P31";"P32";"P33";"P34";"P35";"P36";"P37";"P38";"P39";"P40";"P41";"P42";"P43";"P44";"P45";"P46";"P47";"P48";"P49";"V02";"V04";"V05";"V06";"V07";"V08";"V09";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"VD_REGIAO";"VD_EDUCACAO";"VD_IDADE";"VD_RACA";"VD_ACOMPANHA_SENADO";"VD_TRABALHO";"VD_PORTE";"VD_VOTO.TURNO1";"VD_VOTO.TURNO2";"POP_REGIAO_SEXO";"POP_REGIAO_IDADE";"POP_REGIAO_RACA";"POP_REGIAO_EDU";"POP_REGIAO_PORTE";"POP_REGIAO_VOTO.TURNO1";"POP_REGIAO_VOTO.TURNO2";"W1";"W2"
"1769";29;5;2;1;1;1;3;2;1;1;1;1;1;2;2;1;2;1;1;3;3;1;2;2;2;2;1;2;;;;;;;;;;1;1;1;2;2;2;1;;;2;1;3;4;1;2;2;1;3;1;2;1;1;1;1;2;3;5;2;1;3;2;1;1;21140652,1606768;8204197,81943566;33265012,4017524;6782281,42177651;14173695,4240263;8787394;9962947;0,53113146285101;33242,2799911199
"1770";35;5;1;1;1;2;6;2;2;1;1;1;1;2;2;3;3;1;1;3;2;1;2;2;1;2;1;1;2;;;;;;;;;1;1;2;1;2;1;1;2;1;2;1;3;4;2;1;;1;2;2;2;1;1;1;1;3;3;3;2;1;1;2;1;1;34583982,1353621;13151339,3001183;35613911,6497741;18702138,7176993;28518806,3404994;23470529;27043936;1,1575493817962;35345,4167897989
"1771";22;3;1;1;2;1;6;1;1;1;2;2;1;1;1;1;2;2;;2;3;3;2;2;2;2;1;1;1;2;2;1;2;2;2;2;3;1;1;2;2;2;2;1;2;1;1;1;3;4;1;1;;4;1;1;2;1;2;1;2;2;3;1;2;4;1;3;2;2;21140652,1606768;12798371,8641061;33265012,4017524;6782281,42177651;10816838,1655851;21753139;22534967;0,36921261942587;28337,7501198887
"1772";29;1;1;1;1;1;3;1;2;1;2;2;1;1;2;3;2;1;3;97;2;1;2;2;2;2;1;1;1;2;2;2;2;3;3;2;2;1;2;2;2;2;1;1;2;1;2;2;1;3;2;2;2;2;99;2;2;1;99;1;99;2;1;4;1;3;3;3;3;3;23204759,582082;6202819,74451299;11080399,3410063;24249559,3107258;10816838,1655851;13804878,7427588;11847497,7427588;3,3213002139144;266646,616767399
"1773";35;1;2;1;1;1;5;1;1;1;2;1;1;1;1;1;2;2;;2;2;2;2;1;2;1;1;1;2;;;;;;;;;1;1;1;1;1;1;1;1;1;4;1;3;3;1;2;1;1;3;2;2;1;2;1;2;3;2;4;2;4;2;2;2;2;34583982,1353621;11005948,8963799;35613911,6497741;24365402,5988148;28518806,3404994;21037094;22793826;1,1575493817962;56439,8255989032
"1774";29;5;1;1;2;1;3;1;1;2;2;2;1;1;1;1;2;2;;2;2;1;2;2;2;1;1;1;2;;;;;;;;;1;2;1;2;2;1;1;1;1;4;2;2;3;1;2;2;4;2;2;1;2;;1;2;2;2;1;2;4;3;3;3;2;23204759,582082;12798371,8641061;33265012,4017524;13313571,0102565;10816838,1655851;13804878,7427588;22534967;0,53113146285101;62965,1248265946
"1775";35;1;1;1;1;2;8;97;2;2;2;2;1;1;2;97;3;2;;2;97;1;2;2;2;2;1;1;2;;;;;;;;;1;2;2;2;2;2;2;2;2;4;2;3;3;2;1;;2;1;2;1;1;99;1;99;3;1;2;2;4;1;2;3;3;37700043,5273793;14391721,5930094;35613911,6497741;29216484,3462274;28518806,3404994;27776402,6627414;22446263,6627414;1,1575493817962;74234,0013863087
"1776";29;1;2;1;1;2;3;1;1;2;1;1;2;1;1;1;1;2;;2;2;2;2;2;2;1;1;1;2;;;;;;;;;1;1;1;1;1;1;2;1;1;3;1;1;4;1;1;;1;3;2;2;1;1;1;1;2;3;4;1;4;1;1;1;1;21140652,1606768;6202819,74451299;11080399,3410063;6782281,42177651;19354878,1531474;8787394;9962947;1,06226292570202;55666,7118441883
"1777";26;3;1;1;1;2;7;1;2;2;2;2;1;2;2;3;2;2;;2;2;1;2;2;2;1;1;1;2;;;;;;;;;2;;;;;;;;;4;2;3;2;2;2;2;2;1;2;2;1;1;1;1;2;1;2;2;4;3;2;1;1;23204759,582082;9055325,84168844;33265012,4017524;24249559,3107258;14173695,4240263;8787394;9962947;0,51611723812616;51578,8232299878
"1778";42;3;1;1;1;1;3;1;2;2;2;1;1;1;1;1;2;1;2;2;2;5;2;1;2;1;1;1;2;;;;;;;;;1;1;1;1;1;2;1;1;1;1;1;1;4;1;1;;1;3;1;2;1;99;1;99;4;3;4;1;2;1;2;3;2;11900083,831777;3643103,95375007;17777162,4460155;5864296,77968615;10776775,1826395;8208242,03327921;6750374;0,580803856380637;10896,5985422163
"1779";43;6;2;1;1;2;3;1;2;1;1;1;2;2;97;1;3;1;3;3;1;1;2;2;1;2;1;1;2;;;;;;;;;2;;;;;;;;;4;2;1;2;2;1;;2;1;2;2;1;1;1;1;4;1;4;1;3;1;1;1;1;12325579,2015022;3643103,95375007;17777162,4460155;11421778,5725272;8921246,50044287;9568041;10940158;0,717443769070765;85760,6026517853
"1780";35;6;1;1;2;2;8;1;1;1;1;2;1;2;1;3;3;2;;2;3;3;2;2;2;1;1;1;2;;;;;;;;;2;;;;;;;;;4;2;3;2;1;1;;1;1;2;1;1;2;1;2;3;1;2;2;4;1;3;2;2;37700043,5273793;14391721,5930094;35613911,6497741;29216484,3462274;29162640,6835377;21037094;22793826;1,1575493817962;103665,738795712
"1781";41;3;1;1;1;1;3;1;1;1;1;1;2;2;2;2;3;1;1;2;2;1;2;2;2;2;1;1;1;2;2;3;3;3;3;3;3;1;1;1;2;1;1;1;1;1;2;2;1;4;2;2;2;1;2;1;2;1;1;1;1;4;3;1;1;1;3;2;1;1;12325579,2015022;6307517,21487577;17777162,4460155;5864296,77968615;10776775,1826395;9568041;10940158;0,885430859201816;87270,930886002
"1782";13;4;1;1;1;1;1;2;2;1;2;2;1;2;2;1;3;1;1;3;3;1;1;1;1;1;1;1;2;;;;;;;;;1;2;1;1;1;1;1;1;1;2;2;3;3;1;2;2;2;1;2;1;1;1;1;1;1;2;2;2;1;3;3;1;1;6957088,9162393;2884455,25448695;11092360,6389436;4240290,10826669;3705325,45418379;4396161;4782341;0,139725270854756;5641,84656376116
"1783";35;4;1;1;2;1;7;2;2;1;1;1;1;1;2;3;2;2;;2;2;3;2;2;1;2;1;1;2;;;;;;;;;1;1;1;1;1;1;1;2;2;4;2;1;3;2;2;1;1;1;2;2;1;1;1;1;3;1;4;1;4;2;2;1;1;37700043,5273793;11005948,8963799;36670114,0129673;29216484,3462274;28518806,3404994;23470529;27043936;2,3150987635924;164840,329411906
"1784";35;1;1;1;2;1;1;1;1;2;1;2;1;1;1;3;2;2;;2;2;3;2;1;1;1;1;1;2;;;;;;;;;1;2;2;1;2;2;1;2;1;97;1;3;2;2;1;;5;1;2;1;2;;1;2;3;1;3;2;4;1;1;3;2;34583982,1353621;13151339,3001183;35613911,6497741;29216484,3462274;14602578,6387043;27776402,6627414;22793826;1,1575493817962;24533,9034484688
"1785";31;1;1;2;1;2;3;1;2;1;2;2;1;1;1;1;2;2;;2;2;4;2;2;2;1;1;2;;;;;;;;;;1;2;2;2;2;2;2;;;4;1;1;4;2;1;;1;1;2;1;2;;1;99;3;3;3;1;4;1;1;3;3;34583982,1353621;13151339,3001183;36670114,0129673;18702138,7176993;14602578,6387043;27776402,6627414;22446263,6627414;0,767499221703364;26285,3068364453
"1786";41;4;1;1;1;2;1;2;2;1;1;2;97;2;2;1;2;2;;2;3;1;2;2;2;1;1;1;2;;;;;;;;;1;2;2;1;2;2;1;1;1;4;1;3;3;1;1;;5;2;2;2;2;;2;;4;2;1;2;4;1;2;3;3;11900083,831777;6307517,21487577;6448500,58726374;6939587,68106587;10776775,1826395;8208242,03327921;6535131,03327921;1,77086171840363;106231,0547844
"1787";25;1;1;2;1;2;7;1;1;1;2;1;1;2;2;2;3;2;;3;1;1;2;2;2;1;1;1;2;;;;;;;;;2;;;;;;;;;2;2;3;1;;1;;1;1;2;2;1;2;2;;2;1;3;2;4;1;3;2;3;23204759,582082;8084696,47301555;33265012,4017524;24249559,3107258;10816838,1655851;21753139;11847497,7427588;0,521772660302884;52673,5882457734
"1788";35;2;1;1;1;2;7;1;1;2;2;2;1;1;1;1;2;1;1;1;1;4;2;2;1;2;1;1;2;;;;;;;;;1;1;1;2;2;2;2;1;1;1;2;1;2;1;2;1;1;1;2;2;1;2;1;2;3;1;5;1;1;2;1;2;2;37700043,5273793;15263335,4060724;36670114,0129673;29216484,3462274;14602578,6387043;21037094;22793826;1,1575493817962;88348,6884885376
"1789";41;3;1;1;2;1;4;1;1;2;2;2;1;1;1;1;2;2;;3;3;1;2;1;1;1;1;1;1;1;2;2;2;2;2;2;2;1;2;2;2;2;1;1;1;1;1;2;2;4;1;1;;2;1;1;1;1;2;1;2;4;3;2;2;4;1;2;2;2;12325579,2015022;4972531,99320719;6448500,58726374;5864296,77968615;10776775,1826395;6449380;6750374;0,885430859201816;54055,3113489634
"1790";33;5;1;1;1;2;7;2;2;2;1;2;97;2;1;1;2;2;;2;2;3;2;2;2;97;2;;;;;;;;;;;97;;;;;;;;;97;2;1;3;2;1;;2;99;2;2;1;1;1;1;3;1;2;1;4;1;2;1;1;37700043,5273793;14391721,5930094;36670114,0129673;29216484,3462274;28518806,3404994;23470529;27043936;0,664796625027034;65375,1280948051
"1791";35;7;1;2;2;2;5;2;1;1;2;1;2;2;2;1;1;1;1;3;2;1;2;2;2;2;1;1;1;1;2;2;2;3;3;3;2;1;2;1;2;2;2;2;1;1;2;1;1;3;1;1;;2;3;1;2;1;1;1;1;3;2;5;1;1;1;2;1;1;34583982,1353621;15263335,4060724;36670114,0129673;24365402,5988148;28518806,3404994;23470529;27043936;0,714669738494989;55897,9409735277
"1792";23;6;2;1;2;1;7;1;1;2;2;2;1;1;1;1;1;2;;1;3;3;2;2;1;2;1;1;2;;;;;;;;;1;1;2;1;2;1;2;1;1;2;2;1;4;2;2;2;1;3;1;2;1;2;1;2;2;3;1;1;4;3;3;2;2;23204759,582082;12798371,8641061;11080399,3410063;6782281,42177651;10816838,1655851;21753139;22534967;0,524929967547189;34115,4857737622
"1793";33;97;2;1;1;1;7;1;2;1;2;1;2;1;2;1;2;1;1;1;97;97;2;2;2;2;1;1;2;;;;;;;;;1;1;1;2;1;1;1;1;1;2;1;2;2;1;1;;4;2;1;1;2;;2;;3;1;1;2;1;1;3;3;3;34583982,1353621;18471680,4671614;35613911,6497741;29216484,3462274;29162640,6835377;27776402,6627414;22446263,6627414;0,664796625027034;91889,605484499
