"ID";"P02";"P04";"P05";"P06";"P07";"P08";"P09";"P10";"P11";"P12";"P13";"P14";"P15";"P16";"P17";"P18";"P19";"P20";"P21";"P22";"P23";"P24";"P25";"P26";"P27";"P28";"P29";"P30";"P31";"P32";"P33";"P34";"P35";"P36";"P37";"P38";"P39";"P40";"P41";"P42";"P43";"P44";"P45";"P46";"P47";"P48";"P49";"V02";"V04";"V05";"V06";"V07";"V08";"V09";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"VD_REGIAO";"VD_EDUCACAO";"VD_IDADE";"VD_RACA";"VD_ACOMPANHA_SENADO";"VD_TRABALHO";"VD_PORTE";"VD_VOTO.TURNO1";"VD_VOTO.TURNO2";"POP_REGIAO_SEXO";"POP_REGIAO_IDADE";"POP_REGIAO_RACA";"POP_REGIAO_EDU";"POP_REGIAO_PORTE";"POP_REGIAO_VOTO.TURNO1";"POP_REGIAO_VOTO.TURNO2";"W1";"W2"
"369";43;6;1;1;1;2;1;2;1;1;2;1;1;1;1;2;2;2;;2;2;7;2;2;2;1;1;2;;;;;;;;;;2;;;;;;;;;1;2;1;3;2;2;2;2;1;1;2;1;2;1;2;4;1;5;1;4;3;2;2;2;12325579,2015022;5040299,80536735;17777162,4460155;11421778,5725272;10776775,1826395;6449380;6750374;0,710930506044047;87880,5736078447
"370";28;1;1;1;1;97;3;1;2;2;2;2;1;1;1;2;3;2;;2;2;1;2;2;2;1;1;1;2;;;;;;;;;1;2;1;2;1;2;2;2;2;4;2;3;2;2;2;1;1;1;2;2;1;2;1;2;2;1;3;2;4;2;1;2;2;23204759,582082;8084696,47301555;33265012,4017524;24249559,3107258;19354878,1531474;21753139;22534967;0,289622257726311;58955,7222083865
"371";53;6;1;1;2;1;5;1;1;2;2;2;1;1;1;1;2;1;2;2;3;4;1;1;2;2;1;1;2;;;;;;;;;1;1;1;1;1;2;1;2;1;1;1;2;4;1;1;;1;3;1;2;1;2;1;2;5;3;4;2;2;1;3;2;2;6308440,96389232;1863978,38789247;8295394,16804358;3367449,33243866;5235416,80864652;3326328;3523743;1,84403507372826;114011,272797413
"372";35;4;2;1;1;1;4;1;1;1;2;97;97;2;1;1;2;2;;3;2;2;2;1;2;97;1;2;;;;;;;;;;2;;;;;;;;;3;1;1;4;1;1;;1;3;1;2;2;;2;;3;3;4;1;4;1;2;3;3;34583982,1353621;11005948,8963799;36670114,0129673;18702138,7176993;28518806,3404994;27776402,6627414;22446263,6627414;1,1575493817962;41809,6788202929
"373";26;6;1;1;1;1;6;97;2;2;2;2;1;2;2;2;3;2;;2;3;1;2;2;2;1;1;1;2;;;;;;;;;1;1;1;2;2;2;2;2;1;3;2;1;4;2;2;2;2;2;2;2;1;5;1;1;2;3;2;1;4;3;1;3;1;23204759,582082;9055325,84168844;11080399,3410063;6782281,42177651;19354878,1531474;13804878,7427588;9962947;0,51611723812616;77779,562292171
"374";23;5;1;2;1;2;7;2;2;2;1;97;2;2;2;2;3;1;2;3;1;6;2;2;2;2;1;1;1;1;97;2;3;3;3;97;97;1;1;1;1;1;1;1;2;1;2;1;3;4;2;1;;1;3;1;2;1;1;1;1;2;3;2;2;2;1;3;1;1;21140652,1606768;9055325,84168844;33265012,4017524;6782281,42177651;10816838,1655851;8787394;9962947;0,524929967547189;9684,87538900603
"375";51;6;1;1;1;1;3;1;2;2;2;1;1;1;1;1;2;2;;2;1;1;2;2;2;1;1;1;2;;;;;;;;;2;;;;;;;;;4;2;3;2;2;2;2;1;1;2;2;1;99;1;99;5;1;3;2;4;3;2;3;2;6571044,69845248;2435637,36092034;8295394,16804358;5639588,67715864;3650500,27250181;4825485,6623448;3523743;1,59622303501228;93446,5699252661
"376";12;7;1;1;1;97;8;2;2;1;1;1;1;2;2;1;3;2;;3;2;1;2;2;1;1;1;1;1;1;1;2;2;3;1;1;1;1;2;1;2;2;1;1;1;1;2;1;3;3;2;2;2;4;2;2;1;1;1;1;1;1;1;1;2;4;3;2;1;1;6811680,65343159;4616955,63586713;11092360,6389436;6945065,18624126;5530020,98320975;4396161;4782341;0,228793059638762;76227,282304701
"377";23;1;97;1;1;1;2;1;2;2;2;2;1;1;2;1;2;1;2;2;2;3;2;2;2;2;1;1;2;;;;;;;;;1;2;1;2;2;2;2;2;1;4;2;3;4;1;1;;1;3;2;2;1;1;2;;2;3;2;2;2;1;3;1;3;23204759,582082;9055325,84168844;33265012,4017524;6782281,42177651;10816838,1655851;8787394;11847497,7427588;0,524929967547189;4014,77283807991
"378";26;6;97;1;2;2;1;1;1;2;2;2;1;1;1;1;2;1;3;1;2;2;1;1;1;2;1;1;1;1;3;1;1;3;1;3;3;1;1;1;2;2;1;1;1;1;1;2;3;3;2;2;2;4;1;2;2;1;2;1;2;2;1;1;2;3;3;2;2;2;23204759,582082;12798371,8641061;33265012,4017524;24249559,3107258;14173695,4240263;21753139;22534967;0,51611723812616;214569,302259309
"379";29;3;1;1;1;1;4;1;1;2;2;2;1;1;1;1;97;1;2;1;2;2;2;2;1;2;1;1;1;2;3;2;1;3;3;3;2;1;2;2;2;2;2;1;1;2;1;1;1;3;1;1;;1;1;2;1;1;2;1;2;2;2;4;1;2;1;1;2;2;21140652,1606768;6202819,74451299;11080399,3410063;13313571,0102565;19354878,1531474;21753139;22534967;1,59339438855303;242111,174078154
"380";52;3;1;1;2;1;2;1;2;1;2;2;1;1;1;1;2;1;2;2;1;6;2;2;1;1;1;1;2;;;;;;;;;1;1;1;2;1;1;1;2;1;2;2;2;3;1;1;;2;1;2;1;1;2;1;2;5;2;2;2;2;1;2;2;2;6571044,69845248;2774096,33588219;8295394,16804358;3872447,6527475;3650500,27250181;3326328;3523743;5,10591683798545;256175,551752722
"381";32;6;1;1;2;1;6;2;1;1;2;2;1;1;2;1;2;2;;2;2;1;2;2;2;2;1;1;2;;;;;;;;;1;1;2;2;2;2;2;1;1;4;2;1;3;99;1;;2;1;2;2;1;1;1;1;3;2;3;1;4;1;3;1;1;37700043,5273793;13151339,3001183;36670114,0129673;24365402,5988148;29162640,6835377;23470529;27043936;0,572716242695516;52818,9332698044
"382";35;3;1;1;2;1;8;97;1;1;2;2;1;1;1;3;3;1;2;3;3;6;2;2;2;1;1;1;2;;;;;;;;;2;;;;;;;;;4;1;3;2;2;2;1;2;1;2;1;1;99;1;99;3;1;5;2;2;2;2;3;3;34583982,1353621;15263335,4060724;35613911,6497741;29216484,3462274;28518806,3404994;27776402,6627414;22446263,6627414;1,1575493817962;61632,5965920823
"383";31;1;1;1;1;1;7;1;1;2;2;2;1;1;1;1;2;2;;2;3;2;2;2;1;2;1;1;1;1;3;3;3;3;3;3;3;1;2;2;2;2;1;1;1;1;4;2;1;3;1;2;1;4;1;2;2;1;2;1;2;3;2;1;1;4;2;2;2;2;37700043,5273793;18471680,4671614;36670114,0129673;24365402,5988148;28518806,3404994;21037094;22793826;2,30249766511009;412345,162315678
"384";35;4;97;1;1;1;7;2;2;2;2;97;2;2;2;1;3;2;;3;3;5;2;2;1;1;1;1;2;;;;;;;;;1;1;1;1;1;1;1;1;1;2;2;1;3;1;2;2;5;2;1;2;1;1;1;1;3;2;3;1;4;3;2;1;1;37700043,5273793;13151339,3001183;36670114,0129673;24365402,5988148;28518806,3404994;23470529;27043936;1,1575493817962;86837,5792950052
"385";33;1;2;2;1;2;1;2;2;1;1;1;1;2;2;2;3;1;2;3;3;1;1;1;1;2;1;1;1;1;1;1;2;3;2;1;1;1;1;1;1;1;1;1;1;1;2;2;3;3;1;1;;2;3;1;2;1;1;1;1;3;2;1;2;2;1;3;1;1;37700043,5273793;18471680,4671614;35613911,6497741;24365402,5988148;29162640,6835377;23470529;27043936;0,664796625027034;99042,8539330552
"386";17;3;1;1;97;1;7;1;2;2;2;1;1;1;1;1;1;2;;1;1;1;2;2;2;1;1;2;;;;;;;;;;1;1;1;1;1;1;1;;;4;1;2;2;1;1;;2;2;2;1;1;99;1;99;1;1;3;2;4;1;2;3;2;6811680,65343159;2524910,54003622;11092360,6389436;6945065,18624126;5530020,98320975;4817978,56967089;4590184;0,160738901458879;15505,9982937834
"387";21;4;97;1;97;1;3;2;97;2;2;1;1;1;97;1;2;2;;3;3;1;2;2;2;2;1;1;2;;;;;;;;;1;2;2;2;2;2;2;2;1;4;2;3;4;1;1;;1;2;2;2;1;2;1;2;2;3;2;2;4;1;2;2;2;23204759,582082;9055325,84168844;33265012,4017524;6782281,42177651;14173695,4240263;21753139;22534967;1,00063313925339;40189,6107002803
"388";35;4;1;1;2;2;1;1;2;1;1;1;2;1;2;2;1;1;2;2;2;1;1;1;2;1;1;1;2;;;;;;;;;1;2;1;1;1;1;1;2;2;2;2;1;4;1;1;;2;2;1;1;1;1;1;1;3;3;2;1;2;1;1;1;1;37700043,5273793;14391721,5930094;36670114,0129673;18702138,7176993;14602578,6387043;23470529;27043936;8,1028456725734;392089,308013206
"389";33;1;1;1;1;97;3;1;1;2;2;2;1;1;1;1;2;1;3;2;3;3;2;2;2;2;1;1;2;;;;;;;;;2;;;;;;;;;1;2;3;3;1;2;2;4;1;2;2;1;7;1;4;3;2;3;2;3;3;3;3;3;37700043,5273793;13151339,3001183;35613911,6497741;24365402,5988148;29162640,6835377;27776402,6627414;22446263,6627414;0,664796625027034;39983,29012
"390";35;1;1;1;1;2;3;2;1;1;2;1;1;1;1;1;1;1;1;2;3;6;2;2;2;1;1;1;2;;;;;;;;;1;1;1;2;1;1;2;2;2;2;2;3;4;1;2;2;5;3;2;2;1;2;1;2;3;3;5;2;1;3;3;2;2;37700043,5273793;15263335,4060724;35613911,6497741;18702138,7176993;29162640,6835377;21037094;22793826;0,714669738494989;31430,1651350391
"391";13;4;1;2;1;2;5;1;2;2;1;2;2;2;2;1;2;1;2;3;3;2;2;2;2;2;1;1;2;;;;;;;;;1;1;2;2;1;2;2;2;1;4;1;3;4;1;2;1;4;2;2;2;1;3;1;2;1;3;3;2;2;2;3;3;2;6811680,65343159;2524910,54003622;11092360,6389436;2583414,27516294;3705325,45418379;4817978,56967089;4590184;0,381672597101523;8615,48420745081
"392";35;5;97;1;1;1;4;1;2;2;2;1;1;1;1;1;2;2;;2;2;7;2;2;2;1;1;1;2;;;;;;;;;2;;;;;;;;;3;1;3;1;;1;;2;2;2;2;1;1;1;1;3;1;4;2;4;1;2;1;1;34583982,1353621;11005948,8963799;35613911,6497741;29216484,3462274;28518806,3404994;23470529;27043936;1,1575493817962;56308,8836704466
"393";21;6;1;1;1;1;1;97;97;2;2;97;1;1;1;1;2;2;;2;2;7;2;2;2;1;1;1;2;;;;;;;;;1;2;2;1;1;2;1;2;1;4;2;2;3;1;2;2;1;1;2;1;1;99;1;2;2;2;2;2;4;3;3;2;2;23204759,582082;9055325,84168844;33265012,4017524;13313571,0102565;10816838,1655851;21753139;22534967;0,33354437975113;15795,8995035412
"394";35;3;1;1;2;1;3;1;1;2;2;2;1;1;1;1;3;1;1;2;2;5;2;2;2;1;1;1;1;1;2;1;1;3;2;3;3;1;1;2;2;2;2;2;1;1;1;2;1;4;1;1;;4;2;2;1;1;99;1;99;3;3;3;1;1;1;1;3;2;37700043,5273793;13151339,3001183;36670114,0129673;18702138,7176993;14602578,6387043;27776402,6627414;22793826;3,4726481453886;61487,3113311389
"395";31;3;1;1;1;2;3;1;2;1;1;2;1;1;1;2;2;2;;2;2;3;2;2;2;1;1;1;2;;;;;;;;;2;;;;;;;;;1;1;3;4;2;2;1;1;1;2;1;1;2;1;2;3;3;1;2;4;2;1;2;2;34583982,1353621;18471680,4671614;35613911,6497741;18702138,7176993;14602578,6387043;21037094;22793826;0,767499221703364;48233,380072554
"396";35;4;1;1;2;1;3;1;1;2;2;2;1;1;1;1;2;1;3;2;1;7;2;2;1;1;1;1;2;;;;;;;;;1;2;1;2;2;2;1;1;2;3;2;1;4;1;1;;1;3;1;2;1;2;1;2;3;3;5;1;3;1;3;2;2;37700043,5273793;15263335,4060724;36670114,0129673;18702138,7176993;29162640,6835377;21037094;22793826;0,714669738494989;44392,1627042477
"397";21;1;1;2;97;97;7;1;2;2;2;2;2;1;1;97;1;1;2;2;3;3;2;2;2;2;1;1;2;;;;;;;;;1;1;2;97;2;2;2;2;2;3;2;3;3;2;2;2;4;99;2;2;1;2;1;2;2;1;1;2;2;3;2;2;2;23204759,582082;12798371,8641061;33265012,4017524;24249559,3107258;14173695,4240263;21753139;22534967;0,33354437975113;138666,91431496
"398";35;3;2;2;1;2;3;2;1;1;1;1;1;2;2;1;2;2;;3;3;1;2;2;2;1;1;1;2;;;;;;;;;1;1;1;1;1;1;1;1;1;2;1;1;3;2;2;2;1;2;2;2;1;1;1;1;3;1;5;1;4;3;1;1;1;34583982,1353621;15263335,4060724;36670114,0129673;29216484,3462274;14602578,6387043;23470529;27043936;2,3150987635924;162960,93721485
"399";52;2;2;1;1;2;3;2;1;1;2;1;2;1;1;1;2;2;;2;3;3;2;2;2;2;1;1;2;;;;;;;;;1;2;2;2;2;1;2;1;1;3;2;3;4;2;1;;1;3;1;1;2;;2;;5;3;2;2;4;1;3;3;3;6571044,69845248;2774096,33588219;8295394,16804358;3367449,33243866;5235416,80864652;4825485,6623448;4024034,6623448;0,850986139664242;81540,1548866782
"400";35;4;2;2;1;2;3;2;2;2;1;1;1;2;2;1;3;1;1;3;3;1;1;2;2;2;1;1;1;1;2;1;2;3;3;2;1;1;1;1;2;2;1;2;2;1;2;1;3;4;1;1;;2;2;2;1;1;1;1;1;3;3;2;2;1;1;2;1;1;34583982,1353621;14391721,5930094;35613911,6497741;18702138,7176993;28518806,3404994;23470529;27043936;0,714669738494989;27403,9783113323
"401";21;1;1;1;97;2;8;1;1;2;2;1;1;1;1;2;3;1;1;3;3;3;2;1;1;2;1;1;1;3;1;1;1;3;3;3;1;1;2;2;2;1;1;1;2;1;97;2;3;2;2;2;2;2;1;2;2;1;2;1;2;2;1;2;2;1;3;3;2;2;23204759,582082;9055325,84168844;33265012,4017524;24249559,3107258;10816838,1655851;21753139;22534967;0,33354437975113;23828,0314632491
"402";35;2;1;1;1;1;3;1;2;1;2;2;1;1;1;2;2;2;;3;3;3;2;2;2;2;1;1;2;;;;;;;;;1;1;1;1;1;1;1;1;1;2;2;3;3;1;2;1;2;1;1;1;2;;2;;3;2;1;2;4;2;2;3;3;37700043,5273793;18471680,4671614;35613911,6497741;24365402,5988148;28518806,3404994;27776402,6627414;22446263,6627414;1,1575493817962;129208,522415597
"403";33;6;1;1;1;1;6;2;1;2;2;2;1;1;1;3;2;2;;2;2;2;2;2;1;1;1;1;2;;;;;;;;;2;;;;;;;;;4;2;3;3;1;2;1;2;99;2;1;1;1;1;4;3;2;4;2;4;2;3;1;3;37700043,5273793;11005948,8963799;35613911,6497741;24365402,5988148;29162640,6835377;23470529;22446263,6627414;0,664796625027034;33542,8637022951
"404";31;1;1;2;1;1;3;1;1;1;2;2;1;1;1;1;2;2;;2;2;5;1;2;2;1;1;1;2;;;;;;;;;1;2;2;2;2;1;1;1;1;1;2;1;4;1;2;2;4;2;2;2;1;2;1;2;3;3;2;1;4;3;2;2;2;37700043,5273793;14391721,5930094;36670114,0129673;18702138,7176993;28518806,3404994;21037094;22793826;0,767499221703364;45070,5020177816
"405";29;1;1;1;2;2;5;1;1;2;2;2;1;1;2;1;2;2;;2;1;1;2;2;2;1;1;1;2;;;;;;;;;1;1;1;2;2;1;2;2;1;4;2;3;3;2;2;1;2;1;2;2;2;;2;;2;1;1;2;4;2;2;3;3;23204759,582082;12798371,8641061;33265012,4017524;24249559,3107258;14173695,4240263;13804878,7427588;11847497,7427588;0,53113146285101;256369,049396385
"406";53;97;1;1;2;1;7;2;97;97;2;2;2;2;2;97;2;2;;97;2;1;2;2;2;1;1;1;2;;;;;;;;;2;;;;;;;;;2;1;2;1;;2;2;1;99;2;2;1;1;1;1;5;1;4;2;4;3;3;1;1;6308440,96389232;1863978,38789247;8295394,16804358;5639588,67715864;5235416,80864652;4727672;5331708;0,259730122935213;26131,2895779371
"407";24;1;1;1;1;1;8;2;2;2;2;97;1;1;1;1;3;2;;3;2;3;2;2;2;2;1;2;;;;;;;;;;1;1;1;1;1;2;1;;;4;1;2;3;1;1;;3;1;2;2;1;2;1;2;2;2;4;2;4;1;3;2;2;21140652,1606768;6202819,74451299;33265012,4017524;13313571,0102565;10816838,1655851;21753139;22534967;0,421789337791895;22833,581431677
"408";13;5;1;2;2;2;4;2;2;1;1;2;1;2;2;1;2;1;2;3;2;1;2;2;2;2;1;1;1;3;1;2;2;3;1;1;2;1;1;1;2;1;2;2;1;1;4;1;4;3;1;1;;2;2;1;2;1;1;1;1;1;2;4;2;2;1;2;1;1;6811680,65343159;1788232,35083185;11092360,6389436;4240290,10826669;5530020,98320975;4396161;4782341;0,139725270854756;8355,91924341457
"409";21;7;2;1;1;2;4;2;2;1;1;1;1;2;2;1;2;1;3;2;3;1;2;2;1;2;1;1;2;;;;;;;;;1;1;1;2;1;1;1;1;1;1;2;3;6;;1;;2;2;2;1;1;1;1;1;2;3;1;2;3;1;3;1;1;23204759,582082;12798371,8641061;33265012,4017524;6782281,42177651;10816838,1655851;8787394;9962947;0,33354437975113;17093,0154437937
"410";31;2;1;1;1;2;3;1;2;2;2;2;1;2;2;2;1;1;2;1;1;3;2;2;2;2;1;2;;;;;;;;;;2;;;;;;;;;4;2;3;2;2;2;2;1;1;2;2;2;;2;;3;1;5;2;2;3;2;3;3;37700043,5273793;15263335,4060724;35613911,6497741;29216484,3462274;28518806,3404994;27776402,6627414;22446263,6627414;0,767499221703364;42349,2575861787
"411";27;3;1;2;2;2;3;1;2;1;2;1;97;2;2;2;2;2;;3;3;1;1;1;2;1;1;1;1;1;2;1;1;2;3;2;2;1;2;1;2;1;1;1;1;1;2;2;1;4;1;1;;2;2;1;2;1;1;1;1;2;3;1;1;4;1;3;1;1;23204759,582082;12798371,8641061;11080399,3410063;6782281,42177651;10816838,1655851;8787394;9962947;0,081006810558095;3970,79892337096
"412";23;1;1;1;1;1;1;1;1;2;2;1;1;1;2;1;2;2;;2;2;1;2;2;2;2;1;2;;;;;;;;;;1;1;1;2;2;2;1;;;3;2;1;2;2;2;2;1;1;2;1;1;1;1;1;2;1;5;1;4;3;3;1;1;23204759,582082;8204197,81943566;11080399,3410063;24249559,3107258;10816838,1655851;8787394;9962947;2,62464983773595;247409,931319875
"413";41;1;1;1;1;2;4;1;2;2;2;1;1;2;2;1;2;1;2;2;2;1;2;2;2;2;1;1;2;;;;;;;;;1;1;1;1;2;2;2;1;1;2;1;1;3;99;1;;1;2;1;1;1;1;1;1;4;2;3;1;2;1;2;1;1;11900083,831777;4262210,06607883;17777162,4460155;6939587,68106587;10776775,1826395;9568041;10940158;5,3125851552109;342843,808975664
"414";43;4;2;2;1;2;7;2;2;2;1;1;97;2;2;1;3;1;1;3;3;3;2;2;2;2;1;1;1;3;2;2;2;3;2;2;2;1;1;1;1;1;1;1;1;1;4;1;1;3;1;1;;5;1;1;2;1;1;1;1;4;2;4;1;1;1;2;1;1;11900083,831777;3643103,95375007;17777162,4460155;6939587,68106587;10776775,1826395;9568041;10940158;0,710930506044047;36763,4716902882
"415";50;6;2;1;1;2;3;2;2;1;1;97;2;2;2;97;97;1;3;2;97;5;2;2;2;1;1;1;2;;;;;;;;;2;;;;;;;;;4;2;1;4;2;1;;2;1;2;1;1;1;1;1;5;3;2;1;3;1;2;1;1;6571044,69845248;2774096,33588219;4584091,49430122;3367449,33243866;3650500,27250181;4727672;5331708;0,234958311802122;14003,1586188532
"416";26;4;2;1;1;1;3;1;2;1;1;2;2;1;2;2;3;1;2;3;3;6;1;1;1;1;1;1;2;;;;;;;;;1;1;1;1;1;1;1;1;1;2;1;1;3;2;2;1;1;1;1;2;1;1;1;1;2;1;5;1;2;2;2;1;1;21140652,1606768;8204197,81943566;11080399,3410063;24249559,3107258;14173695,4240263;8787394;9962947;0,51611723812616;101931,0320456
"417";13;97;1;1;2;1;6;1;1;1;2;1;2;2;97;1;3;2;;2;2;3;2;2;2;2;1;2;;;;;;;;;;2;;;;;;;;;4;1;1;99;;2;2;1;2;2;1;1;1;1;1;1;1;5;1;4;3;3;1;1;6811680,65343159;1954215,78844874;2676408,93072725;6945065,18624126;3705325,45418379;4396161;4782341;0,139725270854756;27627,8571269624
"418";15;6;1;1;2;1;2;1;1;2;2;2;97;1;1;1;1;1;2;2;2;5;2;2;1;1;1;1;1;1;1;2;2;2;2;2;2;1;2;2;2;1;1;1;1;1;1;2;1;4;2;1;;4;1;1;2;1;5;1;2;1;3;1;1;2;1;2;3;2;6957088,9162393;4616955,63586713;2676408,93072725;2583414,27516294;5530020,98320975;4817978,56967089;4590184;0,394020511483105;67922,0908934317
"419";26;4;2;1;1;2;3;2;2;1;1;1;2;2;2;1;1;1;2;2;2;1;2;1;1;1;1;1;1;1;1;1;2;2;2;1;1;1;1;1;1;1;1;1;1;1;4;1;1;6;;1;;1;3;1;1;1;1;1;1;2;3;3;1;2;1;3;1;1;21140652,1606768;8084696,47301555;11080399,3410063;6782281,42177651;10816838,1655851;8787394;9962947;0,51611723812616;8844,43354632465
"420";33;1;1;1;1;2;3;2;2;2;2;2;1;1;97;2;3;2;;2;2;1;2;2;2;2;1;1;2;;;;;;;;;2;;;;;;;;;4;2;3;2;2;2;2;2;2;2;1;1;6;1;1;3;1;5;2;4;3;3;3;1;37700043,5273793;15263335,4060724;35613911,6497741;29216484,3462274;29162640,6835377;27776402,6627414;27043936;0,664796625027034;53064,3205508641
"421";35;5;1;1;1;1;7;2;1;2;2;2;1;1;1;1;2;2;;3;2;1;2;2;2;1;1;1;2;;;;;;;;;1;1;1;2;2;1;1;2;1;4;2;1;4;2;1;;1;2;2;2;2;;2;;3;3;1;1;4;1;2;3;3;37700043,5273793;18471680,4671614;36670114,0129673;18702138,7176993;28518806,3404994;27776402,6627414;22446263,6627414;1,1575493817962;108725,837115409
"422";41;2;1;1;2;1;3;2;1;1;1;2;2;1;1;1;2;2;;2;2;1;2;2;2;1;1;1;2;;;;;;;;;2;;;;;;;;;1;1;2;3;1;1;;1;1;2;2;2;;2;;4;2;1;2;4;1;2;3;3;11900083,831777;6307517,21487577;6448500,58726374;6939587,68106587;10776775,1826395;8208242,03327921;6535131,03327921;0,885430859201816;53115,5273922
"423";26;4;1;2;1;97;7;2;97;97;1;1;2;2;2;1;3;2;;2;2;1;1;2;2;1;1;1;1;2;2;3;2;3;3;2;2;97;;;;;;;;;2;2;1;4;1;2;2;2;3;2;2;1;99;1;99;2;3;4;1;4;3;3;3;1;23204759,582082;6202819,74451299;11080399,3410063;6782281,42177651;10816838,1655851;13804878,7427588;9962947;0,51611723812616;26822,6355881559
"424";16;4;1;1;2;1;2;2;97;2;2;2;1;1;1;1;2;1;2;2;2;4;2;2;1;1;1;1;2;;;;;;;;;2;;;;;;;;;4;2;3;3;1;2;1;4;1;2;2;1;99;2;;1;2;2;2;2;2;3;3;3;6957088,9162393;2884455,25448695;11092360,6389436;4240290,10826669;3705325,45418379;4817978,56967089;4396244,56967089;0,246639184849545;20339,0819435993
"425";41;6;2;1;2;1;1;1;1;2;2;2;1;1;1;1;1;1;2;2;3;3;1;1;1;2;1;1;1;3;2;1;2;3;3;3;1;1;2;2;1;1;2;1;1;1;1;1;1;4;1;1;;1;3;2;1;1;2;1;2;4;3;3;1;2;1;3;2;2;11900083,831777;4262210,06607883;17777162,4460155;5864296,77968615;4527641,35019684;6449380;6750374;0,885430859201816;52895,0730051659
"426";41;6;2;1;1;1;3;1;1;1;2;2;1;1;97;1;2;2;;97;3;1;2;2;2;2;1;1;2;;;;;;;;;1;2;2;2;2;2;2;1;1;4;1;3;4;2;1;;1;1;2;1;1;99;2;;4;3;1;2;4;1;2;3;3;11900083,831777;6307517,21487577;6448500,58726374;5864296,77968615;10776775,1826395;8208242,03327921;6535131,03327921;0,885430859201816;48665,0953617231
"427";42;2;1;2;1;2;3;1;1;1;1;2;2;2;2;2;3;2;;2;2;6;2;2;2;1;1;1;2;;;;;;;;;1;1;1;1;1;1;2;2;1;2;2;1;2;1;2;1;2;2;1;1;2;;1;1;4;1;4;1;4;2;3;3;1;12325579,2015022;3643103,95375007;17777162,4460155;11421778,5725272;4527641,35019684;8208242,03327921;10940158;0,580803856380637;26659,8117096193
"428";51;3;97;1;1;1;3;2;1;2;2;2;2;2;1;1;2;2;;2;3;4;2;2;1;2;1;1;2;;;;;;;;;1;1;2;2;2;1;1;1;1;4;1;3;3;2;1;;2;1;2;2;1;2;1;2;5;1;2;2;4;1;2;2;2;6308440,96389232;2774096,33588219;8295394,16804358;5639588,67715864;3650500,27250181;3326328;3523743;0,532074345004093;28521,8258262663
"429";35;5;2;1;1;1;1;1;2;2;1;1;1;1;1;1;2;1;1;3;3;1;2;2;2;2;1;1;1;1;1;3;3;3;3;3;3;1;1;1;1;2;1;1;1;1;4;2;1;3;1;2;2;2;2;2;2;1;7;1;4;3;2;4;1;1;3;2;3;3;37700043,5273793;11005948,8963799;36670114,0129673;24365402,5988148;28518806,3404994;27776402,6627414;22446263,6627414;1,1575493817962;72726,3500285326
"430";43;3;1;1;2;1;2;1;1;2;2;2;1;1;1;1;1;1;1;3;2;5;1;1;1;1;1;1;1;1;1;2;2;3;3;1;2;1;2;1;1;2;1;2;2;2;1;1;1;4;1;1;;1;2;2;2;1;99;1;99;4;3;4;1;1;1;1;3;2;11900083,831777;3643103,95375007;17777162,4460155;5864296,77968615;8921246,50044287;8208242,03327921;6750374;2,13279151813214;68429,1056885758
"431";41;1;1;1;1;1;3;2;2;1;2;1;1;1;97;1;2;1;2;2;2;2;1;1;1;1;1;1;2;;;;;;;;;1;1;1;1;1;1;1;1;1;3;2;3;2;1;2;1;2;2;2;2;1;1;1;1;4;1;4;2;2;2;3;1;1;12325579,2015022;3643103,95375007;6448500,58726374;11421778,5725272;4527641,35019684;9568041;10940158;1,77086171840363;93976,2055753934
"432";50;1;1;1;1;1;2;2;2;2;2;97;2;1;2;1;1;2;;2;2;2;2;2;2;1;1;1;2;;;;;;;;;1;1;2;2;1;1;1;1;1;3;2;1;3;99;2;2;2;1;2;1;1;1;1;1;5;2;2;1;4;3;3;1;1;6571044,69845248;2774096,33588219;4584091,49430122;3872447,6527475;5235416,80864652;4727672;5331708;0,234958311802122;22656,5568435655
"433";26;4;1;2;1;1;6;2;2;1;1;1;2;2;2;1;97;1;2;3;1;5;2;2;1;2;1;1;2;;;;;;;;;1;1;1;1;1;2;2;1;1;2;1;2;4;1;1;;2;2;1;2;1;1;1;1;2;3;3;2;2;1;2;1;1;21140652,1606768;8084696,47301555;33265012,4017524;6782281,42177651;14173695,4240263;8787394;9962947;3,69256827054101;122699,062829621
"434";35;2;1;1;1;97;7;2;2;1;2;2;1;1;1;1;2;2;;2;2;3;2;2;2;1;1;1;2;;;;;;;;;1;2;2;2;2;2;2;2;1;4;2;2;1;;2;1;2;99;2;1;1;7;1;4;3;1;3;2;4;2;2;3;3;37700043,5273793;13151339,3001183;35613911,6497741;29216484,3462274;28518806,3404994;27776402,6627414;22446263,6627414;2,3150987635924;118227,423178783
"435";14;6;1;1;97;1;6;1;2;2;1;2;1;2;2;1;2;1;2;2;2;5;2;2;2;1;1;1;2;;;;;;;;;1;1;1;1;1;2;1;2;1;2;1;2;3;1;1;;2;1;2;1;2;;2;;1;2;2;2;2;1;2;3;3;6811680,65343159;2884455,25448695;11092360,6389436;4240290,10826669;5530020,98320975;4817978,56967089;4396244,56967089;0,546404493533092;56696,0794861412
